id,name,market_cap,category,logo,type
openai,OpenAI,500,Foundation Model,,Company
nvidia,Nvidia,4580,Chips,,Company
microsoft,Microsoft,3820,Hyperscaler,,Company
oracle,Oracle,878,Hyperscaler,,Company
amd,AMD,260,Chips,,Company
coreweave,CoreWeave,68,NeoCloud,,Company
google,Google,2960,Hyperscaler,,Company
amazon,Amazon,2350,Hyperscaler,,Company
meta,Meta,1830,Foundation Model,,Company
anthropic,Anthropic,185,Foundation Model,,Company
softbank,SoftBank,213,Investor,,Company
xai,xAI,200,Foundation Model,,Company
nebius,Nebius,34,NeoCloud,,Company
broadcom,Broadcom,1680,Chips,,Company
marvell,Marvell,77,Chips,,Company
mistral,Mistral,14,Foundation Model,,Company
stargate,Project Stargate,,Joint Venture,,Project
arm,Arm,182,Chips,,Company
mgx,MGX,100,Investor,,Company
rainier,Project Rainier,,Compute Project,,Project
nscale,Nscale,3,NeoCloud,,Company
